"Title","Accession #","Category","Associated People","Associated Place(s)","Creator(s)","Date","Collection","Held At","Medium","Size","Description","URL","Associated Files","Transcription Files"
"Wolcott family collection","1906-04-0","Collections of Papers","Frederick Wolcott/Correspondence; Jabez Williams Huntington/Correspondence; Oliver Wolcott/Correspondence; Laura Wolcott Rankin/Diaries; Betsey Huntington Wolcott/Correspondence; Thomas Sowers Aspinwall/Correspondence; Henry Leavitt Ellsworth/Correspondence; Samuel Augustus Foot/ Correspondence; George Griffin/Correspondence; Walter Mitchell/Correspondence; John Peter Jackson/Correspondence; Joseph L. Shaffer/Correspondence; Henry Shaw/Correspondence","Litchfield, Connecticut; New York, New York; Norwich, Connecticut; New Haven, Connecticut; Hartford, Connecticut","Frederick Wolcott; Jabez Williams Huntington; Oliver Wolcott; Laura Wolcott Rankin; Betsey Huntington Wolcott","1790-1837","Wolcott family collection","Litchfield Historical Society",,"1.6 linear feet","Correspondence chiefly between Frederick Wolcott (1767-1837), his wife Elizabeth (Betsey) Huntington Wolcott (1774-1812), his brother Oliver Wolcott (1760-1833) who served as Secretary of the Treasury and Governor of Connecticut, and Jabez W. Huntington (1788-1847) who served as a U.S. Senator from Connecticut. 

Topics include domestic news, local, state, regional and national politics, business affairs, church activities, trade with China and the merchant vessel Trident, raising merino sheep, and manufacture of woolen cloth.  

Other correspondents include John Cotton Smith, Benjamin Tallmadge, and Uriah Tracy. Several correspondents were graduates of the Litchfield Law School. The collection also includes several account books as well as the schoolgirl diaries of Frederick and Elizabeth Wolcott's daughter, Laura Maria Wolcott Rankin.  Many of the letters in this collection have been transcribed.  The finding aid is linked to files containing transcriptions, as well as digital images of some papers.","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/controlcard&id=5",,
"Cyrus Alden letter","1930-28-0","Collections of Papers","Cyrus Alden","Litchfield, Connecticut; Bridgewater, Massachusetts","Cyrus Alden ","1818 Sep 25","Small acquisitions","Litchfield Historical Society",,"1 Item","Cyrus Alden in Litchfield writes to his brother Thomas Alden in Bridgewater, Mass. describing his trip to Litchfield and New Haven and study and expenses at Judge Reeve's Law School.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=289",,"SACyrusAldenLetter.pdf"
"Charles Adams letter","1970-35-1","Correspondence","James Gould","New Haven, Connecticut; Litchfield, Connecticut","Charles Adams","1825 Sep 13","Adams Family collection","Litchfield Historical Society",,"0.83 linear feet","Charles writes about his affection for his parents, his health, his religious feelings and convictions, a speech by Mr. Gould and comments on his alcoholism, and a poem delivered by Dr. Percival.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=11",,
"Benjamin Tallmadge collection","1933-19-0","Collections of Papers","Benjamin Tallmadge; John Paine Cushman; Frederick Augustus Tallmadge; Maria Tallmadge Cushman","Litchfield, Connecticut; Troy, New York; Washington, D.C.; New York, New York; Philadelphia, Pennsylvania ","Benjamin Tallmadge; John Paine Cushman; Frederick Augustus Tallmadge","1777-1864","Benjamin Tallmadge collection","Litchfield Historical Society",,"2.08 linear feet","The Benjamin Tallmadge collection documents the personal life and professional career of Colonel Benjamin Tallmadge through his correspondence as well as his legal, financial, and personal papers. An army officer, chief intelligence officer, and organizer of the Culper spy ring during the Revolutionary War, Tallmadge became a businessman and U.S. Representative from Connecticut in Congress after the war.

The collection contains Tallmadge's duplicate original letters to George Washington concerning military operations and Tallmadge's operations of the secret service during the Revolutionary War. These letters record not only detailed summaries of battles, movements of troops, and requests for provisions, but also the activities of spies and communications of their intelligence. Many of the letters are written in cipher. Also included are two original letters from Washington to Tallmadge concerning military administration.

The letters also record Tallmadge's business activities after the war, especially in his correspondence with his son-in-law, John Paine Cushman, a lawyer in New York and, from 1817-1819, U. S. Representative of New York in Congress, whose advice and assistance Tallmadge frequently sought for his financial transactions.

In addition, legal documents, accounts, and bills and receipts illuminate Tallmadge's business ventures, especially his purchases and sales of land in Vermont, New York, Massachusetts, and Ohio, with references to the Ohio Company and Western Reserve. Other items include accounts for Tallmadge's store in Litchfield, Connecticut; receipts documenting his investment in privateering ships; and bills of sale for the purchase of slaves.

Moreover, his letters to Cushman reveal their opinions on national politics and government, especially during Cushman's own service in Congress. Meanwhile, his letters to his daughter, Maria (Tallmadge) Cushman, document the religious revival movement in New England, in which Tallmadge took great interest, describing the activities of such revivalist preachers as Lyman Beecher, Asahel Nettleton, and Nathan Beman. These letters also provide insight into the social and personal activities of the Tallmadge and Cushman families in Litchfield and elsewhere. Occasionally, the letters are appended by notes to Maria from Tallmadge's second wife, Maria (Hallett) Tallmadge.

The collection also contains correspondence and business papers of Tallmadge's son, Frederick Augustus Tallmadge, which primarily concern Frederick Tallmadge's publication of his father's memoirs. The Tallmadge children attended the Law School and Female Academy, and matters relating to both schools appear in the papers.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=1",,
"Tapping Reeve letter","1933-19-0","Correspondence","Tapping Reeve; Maria Tallmadge Cushman; Virgil Maxcy","Litchfield, Connecticut; New York, New York","Tapping Reeve","1807 Mar 20","Benjamin Tallmadge collection","Litchfield Historical Society",,"1 Item","Tapping Reeve's letter to Maria reassures her about her decision to turn down an unwanted suitor (Virgil Maxcy).","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/findingaid&id=1&q=&rootcontentid=1#id1","TallmadgeS1F28.pdf",
"Benjamin Tallmadge letter","1933-19-0","Correspondence","Benjamin Tallmadge; John Paine Cushman; Sarah Pierce; Lyman Beecher; John Pierce Brace; Maria Tallmadge Cushman","Litchfield, Connecticut; Troy, New York","Benjamin Tallmadge","1823 Mar 29","Benjamin Tallmadge collection","Litchfield Historical Society",,"1 Item","Tallmadge reviews the availability of boarding places for young ladies who wish to attend the Litchfield Female Academy and reports on the religious revival and a sermon by Lyman Beecher. ","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=1","TallmadgeS1F63.pdf",
"Elijah Adams letter","2009-92-0","Correspondence","Elijah Adams; Asa Bacon; Benjamin Tallmadge; Uriel Holmes; Tapping Reeve; Frederick Wolcott; Aaron Smith","Fishkill, New York; Litchfield, Connecticut","Elijah Adams","1824 Dec 13","Small acquisitions","Litchfield Historical Society",,"1 Item","Elijah Adams, Esq. in Fishkill, New York writes to Asa Bacon, Esq. in Litchfield about a meeting at Col. Benjamin Tallmadge's house. Provides recollections about a business arrangement involving Judge Reeve, Uriel Holmes, Frederick Wolcott, Benjamin Tallmadge Ezekiel Lewis, John Landon, Aaron Smith and Julius Deming. Gives an account of attempts to collect a debt from Aaron Smith.","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/controlcard&id=360",,
"Litchfield Female Academy collection","1890-07-2","Collections of Papers","Sarah Pierce; John Pierce Brace; Emily Noyes Vanderpoel; Lucy Sheldon Beach; Mary Bassett Clarke; Lucy Sheldon Beach; Sarah Beekman Westbrook; Jane Seymour Beckwith; Charlotte Newcomb Benedict; Roxana Clark Bolles; Lois Ann Buell; Maria Buel Tuttle; Mary Theresa Buel; Eliza Ogden Butler; Mary Ann Child; Maria A. Clark; Cynthia Painter Collins; Elizabeth Cone Kilbourn; Elizabeth Catlin Cooke; Clara H. Corey; Julia Cowles; Lucretia Deming; Julia Chittenden Dodge; Julia Canfield Flewwelling; Clarissa Smith Galpin; Juliana McLachlan Gardiner; Margaret Bolles Garrett; Sarah Gay; Harriet Lucretia Grant; Nancy Hale; Jennette Margaret Hart; Mary Ann Buel Heminway; Emily Lindsley Hollenbeck; Hannah Houston; Mary Wadhams Hunt; Caroline Chester Knickerbocker; Jane Roxana Lewis; Marian R. Lewis; Susan Masters Blackman; Mary Peck Mansfield; Cornelia Tallmadge McCracken; Zervia Ruth Miner; Celeste Parmalee; Clarissa Deming Perkins; Louisa Lewis Phelps; Ameila Seymour Sanford; Maria Seymour Sanford; Caroline Boardman Schroeder; Delia Storrs Seymour; Charlotte Sheldon; Jane Wadhams Stevens; Adeline Mitchell Tallmadge; Betsy Reynolds Voorhees; Delia Storrs Waterman; Jane Vanderburgh Wells; Julia Ann Walsh Wells; Sarah Clark Whiting; Maryann Bacon Whittlesey; Catherine M. Williams; Henrietta Seymour Woodruff","Litchfield, Connecticut","Sarah Pierce; John Pierce Brace; Emily Noyes Vanderpoel","1787-1927","Litchfield Female Academy collection","Litchfield Historical Society",,"11.67 Linear Feet","This collection documents the history of The Litchfield Female Academy, Litchfield, Connecticut. Early records refer to the Academy as Miss Pierce's School, Miss Pierce's Academy, and Sarah Pierce's Academy. The collection consists of school records; correspondence, diaries, journals, school notebooks, and albums of students; papers of Sarah Pierce and the Pierce family; and correspondence of Emily Noyes Vanderpoel regarding her research for her books ""Chronicles of a Pioneer School, from 1792 to 1833"" published in 1903 and ""More Chronicles of a Pioneer School"" published in 1927. The collection includes the writings of Sarah Pierce and her nephew, John Pierce Brace. The finding aid contains links to images of items from the collection.  ","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=2",,
"1816 Catalogue of the Litchfield Female Academy","1890-07-2","Diplomas, Certificates & Catalogs",,"Litchfield, Connecticut; Hartford, Connecticut","George Goodwin and Sons; Litchfield Female Academy",1816,"Litchfield Female Academy collection","Litchfield Historical Society",,"1 item","Catalog of the 1816 summer session of the Litchfield Female Academy","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/findingaid&id=2&q=&rootcontentid=237#id237","1890-07-2.jpg",
"Mary Wallace Peck Mansfield album","ca1890-33-02","Journals & Friendship Albums","Mary Peck Mansfield; Tapping Reeve; George Catlin","Litchfield, Connecticut","Mary Peck Mansfield","1825-1826","Litchfield Female Academy collection","Litchfield Historical Society",,"1 bound volume","Autograph album inscribed: ""Mary W. Peck from Edward D. Mansfield Jan. 1, 1825."" Includes art work and hair memorials.  Many inscriptions, including those by members of the Reeve, Beecher, and Wolcott families, as well as female academy or law school students, appear alongside poetry or watercolors.  Some of the watercolors are attributed to artist George Catlin who attended the Litchfield Law School.  A hair memorial to Judge Tapping Reeve is included with an inscription by his second wife, Elizabeth Reeve.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/findingaid&id=2&q=&rootcontentid=238#id238","ca1890-33-02-5; ca1890-33-02-11; ca1890-33-02-17; ca1890-33-02-115; ca1890-33-02-214; ca1890-33-02-216; ca1890-33-02-212; ca1890-33-02-202; ca1890-33-02-200; ca1890-33-02-194; ca1890-33-02-192; ca1890-33-02-180; ca1890-33-02-148; ca1890-33-02-84; ca1890-33-02-58-59",
