"Primary Name","Other Names","Maiden Name","Spouse's Name","Gender","Hometown ","Hometown - State","Spouse's Hometown","Spouse's Hometown - State","Spouse's Education","Spouse's Occupation","Marriage Date","Second Marriage","Other Education","Profession/           Career","Benevolent and Charitable Organizations","Later Residence - Town","Later Residence - State","Year Born","Year Died","Father's Name","Father's Birth and Death Dates","Father's Education","Father's Occupation","Mother's Name","Mother's Birth and Death Dates","Biographical Information","Image and Location","Archival Material and Location","Artifacts and Location","Secondary Sources","Additional Notes"
"Thomas Collier",,,"Elizabeth Stockwell Collier","Male","Boston","MA",,,,,,,,"Editor",,"New Haven; Binghamton","CT; New York",1761,1842,,,,,,,"Thomas Collier was a printer and editor. He apprenticed in Boston, MA but left the city during the Revolutionary War.  He worked in Litchfield and New Haven, CT; Bennington, VT; and Troy and Binghamton, NY.  Thomas and Elizabeth Collier were Litchfield residents from 1784 to 1808.  Times in Litchfield were difficult for the family.  As a printer, the income Thomas generated was often insufficient to cover the expenses of his business and 11 children.  Additionally, a history of illness often prevented Collier from publishing his newspaper, the Monitor as often as expected.  While this newspaper was only one of many items printed by Collier, it was the object of much community support.  In a time of partisan rancor, many of the town’s leading citizens were Federalists and welcomed a venue in which to voice their opinions.  

One such Federalist was Tapping Reeve, who, in an 1803 edition of the Monitor, printed a letter attacking Thomas Jefferson.  A lawsuit resulted in which Jefferson sued Reeve, who was indicted along with Collier, for libel.  Collier spent time in prison in 1806 as a result.  Despite petitions to raise money on his behalf by citizens such as Julius Deming and Frederick Wolcott, his financial woes continued and he was confined to debtor’s prison.  In 1808, Collier petitioned the state for an Act of Insolvency to release him from his debt.  His petition was granted.  The Colliers eventually settled with a son in Binghamton, NY in 1827.

",,,,,
"Ephraim Kirby",,,"Ruth Marvin","Male","Litchfield","CT","Litchfield","CT",,,,,"Yale","Military; Lawyer; Political Office",,"Fort Stoddert","AL",1757,1804,"Abraham Kirby",,,"Farmer","Eunice Starkweather Kirby",,"Ephraim Kirby was the great-grandson of Joseph Kirby who emigrated from Warwickshire to Hartford in the early seventeenth century.  He was educated at Yale, but left without a degree.  He served in the cavalry during the Revolution and was wounded thirteen times.  In 1787, Yale gave him an honorary Master of Arts degree.  He practiced law in Litchfield and was in the Connecticut Legislature from 1791 to 1801, afterwards serving as a director of the Western Reserve in Ohio.  In 1978 Kirby compiled the first volume of law reports in America, those of the Superior Court of Connecticut. President Jefferson appointed Kirby as first Superior Court Judge of the Mississipi Territory on 6th April 1804.  He went directly to his new post, Fort Stoddert, on the Alabama River north of Spanish-held Mobile and near the present Mount Vernon.  In this sparsely settled wilderness, he began the foundation of a new court system for what would become the state of Alabama.  He lived only a few months, dying of fever while planning to return to his family.  He left a wife and eight children in faraway Connecticut.  His grave at old Fort Stoddert has never been found.",,,,,
"Benjamin Tallmadge",,,"Mary Floyd","Male","Brookhaven","NY","Mastic","NY",,,,"Maria Hallett",,"Military; Political Office; Business; Trade",,,,1754,1835,,,,,,,"Benjamin Tallmadge served as an army officer, chief intelligence officer, and organizer of the Culper spy ring during the Revolutionary War.  Following the war, Tallmadge moved to Litchfield with his wife.  He became a businessman and U.S. Representative from Connecticut. Tallmadge's business ventures included purchases and sales of land in Vermont, New York, Massachusetts, and Ohio. He maintained a store in Litchfield, Connecticut, invested in privateering ships, and owned slaves. Tallmadge took great interest in the Second Great Awakening, following revivalist preachers  Lyman Beecher, Asahel Nettleton, and Nathan Beman. He was first President of the Phoenix Bank and served as President of the Society of the Cincinnati.",,"1933-19-0",,,
"Julius Deming",,,,"Male",,,,,,,,,,"Military; Political Office; Business; Trade",,,,1755,1838,"David Deming",,,,"Mehitabel Champion Deming",,"Julius Deming was born in 1755 in Lyme, Connecticut, son of David Deming and Mehitable Champion Deming. He served through the Revolutionary War with the rank of Captain of Cavalry under his uncle Col. Henry Champion. Deming removed to Litchfield, Connecticut where he had served as a commissary officer during the war, and commenced business there in 1781. Early in his business life, he traveled to London where he arranged to import goods directly from that city; something that few, if any, merchants did in this state. He was later in partnership with Benjamin Tallmadge. He also bought shares in the Litchfield China Trading Company, founded by Oliver and Frederick Wolcott and Benjamin Tallmadge to import tea and nankeen from China aboard their ship the Trident. Despite reportedly having a dislike for public office, Deming was elected to the state House of Representatives three times (1790, 1791 and 1798) as well as serving as magistrate of the county for several years. From 1801-1814 he served as County Treasurer. He married Col. Henry Champion’s daughter, Dorothy Champion, in 1781. They had eight children.",,,,,
"Sarah Pierce",,,,"Female",,,,,,,,,,,,,,,,,,,,,,"Sarah Pierce was born in Litchfield, Connecticut on June 26, 1767, the youngest of the 7 children of Mary (Paterson) and John Pierce. Her mother died when she was 3 years old and her father remarried. At the death of her father, when she was fourteen, Sarah and her sister Nancy went to New York City for a formal education. In 1792 she started teaching girls in her home and by 1798 the school became so successful that an Academy building was built. Her nephew John Pierce Brace became the director in 1827, but she continued to teach, focusing on her favorite subject - history. Sarah Pierce died in Litchfield on Jan. 19, 1852 and was buried in the West Burying Ground.",,,,,
"Tapping Reeve",,,,"Male",,,,,,,,,,,,,,,,,,,,,,"Tapping Reeve (1744-1823), an American jurist and founder of the Litchfield Law School, helped bring order to the law through systematic and integrated instruction.

Tapping Reeve, the son of a Presbyterian minister, was born in Brookhaven, Long Island, in October 1744. He entered the College of New Jersey (now Princeton) at 15 and graduated first in his class in 1763. In 1771 Reeve left his post as tutor at Princeton to read law in the traditional way in a judge's office in Hartford, Conn. In a year he was admitted to the bar, and he moved to the remote village of Litchfield, Conn., to begin his practice.

As his reputation grew, young prospective lawyers began to seek Reeve out to supervise their legal preparation. But he soon went beyond the usual procedures (which gave the clerks little or no overview in their reading and only a perfunctory knowledge of established legal forms) to introduce them to the substantive principles and concepts of law. In the absence of accessible textbooks and reports, he inaugurated in 1782 a series of formal and connected lectures which embraced the whole field of jurisprudence. Two years later, with students overflowing home and office, he erected a small frame building near his home and assembled his law library there. In this school he met his classes of from 10 to 20 men. On Saturdays the students were examined on the week's lectures, and Monday evenings were reserved for moot court sessions.

For 14 years Reeve conducted the school alone, but when, in 1798, he was appointed a judge of the superior court, James Gould began to share the teaching duties. The notes from their lectures, as the school catalog noted in 1828, ""constitute books of reference, the great advantage of which must be apparent to every one of the slightest acquaintance with the ... Law.""

Before the school closed in 1833 because of increased competition from New York, New Haven, and Boston, Reeve and Gould graduated more than 1,000 lawyers. The roster of names reads like a ""Who's Who in Nineteenth-century America,"" including 2 U.S. vice presidents, 3 Supreme Court justices, 6 Cabinet members, and 116 congressmen.

After 16 years on the state supreme court Reeve was elevated in 1814 to chief justice. He retired the next year, at the age of 70. He published The Law of Baron and Femme (1816), a legal analysis of domestic relations that went into four editions. Financially straitened and flagging with age, he withdrew from his school partnership in September 1820 and died in Litchfield on Dec. 13, 1823.",,,,,
"Ralph Earl",,,,"Male",,,,,,,,,,"Arts",,,,1751,1801,,,,,,,"A portrait painter, Ralph Earl was one of three-prominent southern New England portraitists who carried on the high standards set by John Singleton Copley (1738-1815). With Gilbert Stuart (1755-1828) and John Trumbull (1756-1843) Earl was trained in England and, returning home, was one of the three ""first well-trained American painters to walk American soil"" (Flexner 65) after the Revolutionary War.",,,,,
"Anson Dickinson",,,,"Male",,,,,,,,,,"Arts",,,,1779,1852,,,,,,,,,,,,
"Elizabeth Reeve",,,"Tapping Reeve","Female",,,,,,"Educator; Lawyer; Politcal Office",,,,,,,,,,,,,,,,,,,,,
"Sally Burr Reeve",,"Burr","Tapping Reeve","Female",,,,,,"Educator; Lawyer; Politcal Office",,,,,,,,,,,,,,,,,,,,,
