"Title","Main Image","Object ID#","Category","Student","Author/Creator","Date","Associated Place","Collection","Held At","Medium","Size","Description","Image Ready for Gibson"
"Algernon Sidney Lewis","Main Image","1921-05-2","Images of People","Algernon Sidney Lewis/Portrait of","Anson Dickinson (1779-1852)",1851,"Litchfield, CT ",,"Litchfield Historical Society","watercolor on ivory","2 3/8"" length x 2 1/2"" width","Bust portrait of Algernon Sidney Lewis, facing left.  He has dark brown hair and long sideburns and is wearing a dark blue coat with high collar and wide lapels, white shirt, and dark blue neck band.  Background is faded, but was light blue stippled.","Yes"
"Asa Chapman","Main Image","1966-02-1","Images of People","Asa Chapman/Portrait of","Anthony or Nina Meucci",1824,,,"Litchfield Historical Society","watercolor on ivory"," 4 5/8"" length x 5 1/2"" width","Bust portrait of older man with maroon background.  Man is bald with blue eyes.  Facing right.  Black coat and white high collar shirt, white bow tie.   Wooden frame painted black.  Tiny brass loop for hanging at top.","Yes"
"Augustus Schell","Main Image","1995-04-1","Images of People","Augustus Schell/Portrait of","Eastman Johnson (1824-1906)","ca. 1870",,,"Litchfield Historical Society","oil on canvas","30"" length x 25"" width","Oil on canvas, quarter length portrait of balding male with some gray hair and large bushy sideburns on cheeks. He is wearing a white shirt with thin black bow tie and black jacket.  Framed in a simple wooden frame painted gold.","Yes"
"Autumn",,"1986-10-1","Made by Students","Sarah Phelps Riley/Maker","Sarah Phelps Riley (1871-1870)",1800,"Litchfield, CT ",,"Litchfield Historical Society","silk on silk","23"" length x 19 1/4"" width x 1 1/2"" depth","Frame: gilt incised quarter round with plain concave with beaded/twisted thin wood strip, different on sides than top and bottom, inner lining.  Black eglomise glass with floral corners, ""SALLY PHELPS"" at bottom.  Gilt oval double bands around picture.  Wood backing with remnants of pictures framers label ""Ruggles & Dunbar"".  Picture entitled ""AUTUMN"" from English print of same name.  Left man sitting on basket, women with basket of apples, empire dress and hat, boy on ground and young man on ladder picking apples.  Baskets in foreground and large appled tree to right.  Small tree center and house to left.  Brilliant colored silks","Yes"
"Belinda Webster Beers","Main Image","1975-04-3","Images of People","Belinda Webster Beers/Portrait of","Anson Dickinson (1779-1852)","1835-1837","Litchfield, CT ",,"Litchfield Historical Society","watercolor on ivory","3"" length x 2 1/2"" width","Rectangular watercolor on ivory portrait miniature of Belinda Webster Beers.  She is facing front but body is slightly turned to the right.  She has brown hair and blue yes.  She is wearing a black dress with large puff sleeves, tucked bodice and white net collar over her neck and shoulders.  She has a white lace veil in her hair.  Wooden frame with gilt paint and beaded inside edge. Grey mat board. ","Yes"
"Brooch",,"1907-01-1c","Clothing & Personal Accessories","Elizabeth Canfield Tallmadge/Owner",,"ca. 1830",,,"Litchfield Historical Society","gold, shell","2"" length x 1 3/4"" width","Cameo brooch - raised design in white of three dancing girls with reddish/orange shell background.  Set in gold.  Pin on back missing.","Yes"
"Brooch",,"1907-01-2","Clothing & Personal Accessories","Elizabeth Canfield Tallmadge/Owner",,"ca. 1830",,,"Litchfield Historical Society","gold, shell","1 1/4"" length x 3/4"" width","Cameo brooch, oval shape.  Image of woman's head facing right.  Classical image.  Her hair is pulled back and curled.  She wears a dress with a shawl around her shoulders.  The cameo is white and the background is reddish/orange colored shell.  Set in gold setting with bright cut design.  Pin on back.","Yes"
"Carnations",,"1978-04-2","Made by Students","Catharine Bockee Flint/Maker","Catharine Bockee Flint (1811-1843)",1828,"Litchfield, CT ",,"Litchfield Historical Society","watercolor on paper","10"" length x 8"" width","Watercolor painting of red carnations - green stem with leaves; three open red carnations pointing in different directions; One unopened carnation bud at top left of picture.","Yes"
"Charles Herman Ruggles","Main Image","ca1910-01-8","Images of People","Charles Herman Ruggles/Portrait of","Anson Dickinson (1779-1852)","1810-1815","New York City, NY",,"Litchfield Historical Society","watercolor on ivory","3"" length x 2 1/4"" width","Full face portrait - male with brown, curly hair, blue eyes, large nose.  He is wearing a blue overcoat with high collar, buff waistcoat and white neck band with tie.      Frame:  gold with staple and loop at top - back oval with wide woven bands of hair, gold cut initials ""HR"".","Yes"
"Charles Perkins","Main Image","1939-03-1","Images of People","Charles Perkins/Portrait of","Anson Dickinson (1779-1852)","October 1, 1831","Litchfield, CT ",,"Litchfield Historical Society","watercolor on ivory","3 5/8"" length x 3"" width","Ivory miniature bust portrait of Charles Perkins.  He wears a dark jacket, white stock,  and is facing forward.  Brown eyes, curly brown hair, vague blue background.  Green velvet binder.   Plain red leather album case, engraved trade card attached to silk lining.  Two locks of hair also attached, with thread. ","Yes"
"Charles William and Mary Deming Perkins",,"1939-03-8","Images of People","Clarissa Deming Perkins/Portrait of; Charles Perkins/Portrait of","Anson Dickinson (1779-1852)",1828,"Litchfield, CT ",,"Litchfield Historical Society","watercolor on ivory","4 3/4"" length x 4 3/8"" width","Watercolor miniature of Charles William Perkins and Mary Deming Perkins.  He is on the left and she is on the right.  Charles is wearing taupe dress with white ruffled collar. Mary is wearing white ruffled dress.  Both have brown hair and brown eyes.    Plain red leather album case with two hooks. White silk lining, green velvet binder.  Artist's trade card attached to lining.  Charles William and Mary Deming Perkins are the children of Charles Perkins and Clarissa Deming Perkins. ","Yes"
"Chart of the History of the World",,"ca1900-09-11","Made by Students","Marian R. Lewis/Maker","Marian R. Lewis (1797-1884)","1814-1815","Litchfield, CT ",,"Litchfield Historical Society","watercolor on paper","71"" length x 20 1/2"" width"," Five sheets of paper that have been pasted together.  Chart with years down two sides.  Begins with ""Fall of Man"" on left side of chart.  ""Birth of Christ"" in center and ends at year 1800.  Different colored lines show progression of different civilizations.  Historic events written next to lines at corresponding dates.","Yes"
"Clarissa Deming Perkins",,"1923-04-21","Images of People","Clarissa Deming Perkins/Portrait of",,"ca. 1850","Litchfield, CT ",,"Litchfield Historical Society","Hand colored photograph on glass","8 1/2"" length x 10 1/8"" width","Photograph printed on piece of oval glass.  Image of young woman with brown hair and brown eyes.  Hair parted in middle and pulled back behind head.  She has on a dark dress with white lace collar and gold brooch at her throat.  The photograph is hand painted.","Yes"
"Clarissa Deming Perkins","Main Image","1939-03-2","Images of People","Clarissa Deming Perkins/Portrait of","Anson Dickinson (1779-1852)",1828,"Litchfield, CT ",,"Litchfield Historical Society","watercolor on ivory","3 5/8"" length x 3"" width","Rectangular ivory miniature of Clarissa Deming Perkins with sky and landscape background.  She is depicted with curled black hair, brown eyes, lace cap with blue ribbon tie under chin. Two-layer lace  fichu, black empire dress with blue shawl.  Red leather album case with 2 brass hooks.  White silk trade card attached to silk lining.","Yes"
"Cornelia Bennett Lewis","Main Image","1921-05-1","Images of People","Cornelia Bennett Lewis/Portrait of","Anson Dickinson (1779-1852)",1851,"Litchfield, CT ",,"Litchfield Historical Society","watercolor on ivory","3 1/8"" length x 2 1/2"" width","Bust portrait of woman with brown hair in a bun, blue eyes, pale complexion.  Wears a black dress with a lace collar and a blue and pink candy-striped ribbon with a cameo.  Blue shawl caught under her arms.  Background is light pick to blue.","yes"
"Creamer",,"1911-20-3","Household Accessories","Elizabeth Canfield Tallmadge/Owner","Wedgewood","ca. 1830",,,"Litchfield Historical Society","jasperware","2 1/2""length x 4 3/4"" width","Creamer, white body with blue slip.  White sprigged-on decoration of grape leaves.  Stamped ""Wedgwood"" and ""R.K."" on the bottom.","Yes"
"Discovery of Moses in the Bullrushes",,"2001-20-1","Made by Students","Charlotte Newcomb Benedict/Maker","Charlotte Newcomb Benedict (1795-1853)","1809-1810","Litchfield, CT ",,"Litchfield Historical Society","silk and watercolor on silk","29 1/2"" length x 25"" width","Large silk embroidery titled ""Discovery of Moses in the Bullrushes"" Oval scene.  In foreground are three women surrounding a baby on the shores of a river.  River recedes into background.  Large city in background with many spires.  Boats out in the river.  Sky, water and buildings done in watercolor.  Remainder of piece worked in silk thread.  Framed under glass.  Underside of glass painted black with gold border and floral motif in each corner.  At bottom in gold lettering ""Charlotte Newcomb"".  Wood frame painted gold","Yes"
"Dorothy Champion Deming","Main Image","1939-03-7","Images of People","Dorothy Champion Deming/Portrait of","Anson Dickinson (1779-1852)","November 19, 1825","Litchfield, CT ",,"Litchfield Historical Society","watercolor on ivory","3 3/4"" length x 3 1/8"" width","Watercolor miniature on ivory of Dorothy Champion Deming.  Bust portrait of older woman facing front left.  Light blue background.  Woman is wearing dark dress with scarlet shawl, white lace bonnet.  She has brown hair, green eyes.   Plain red leather case with 2 hooks.  White silk lining with green leather binder, white ribbon.","Yes"
