"Title","Main Image","Object ID#","Category","Student","Author/Creator","Date","Associated Place","Collection","Held At","Medium","Size","Description","Image Ready for Gibson"
"Stamp",,"1908-10-1","Tools of a Profession","Seth Preston Beers/Owner",,"ca. 1815-1830",,,"Litchfield Historical Society","wood, metal",,"Stamp, wooden handle and rectangular base, with attched metal stamping block with raised lettering ""Seth.P.Beers.""","No"
"Quilt",,"1909-02-8","Other","Elizabeth Canfield Tallmadge/Maker; Mabel Ruggles Canfield/Maker",,1824,,,"Litchfield Historical Society","cotton, linen","79 1/2"" length x 89"" width","Appliqued and quilted coverlet cut out at two corners for a 4 poster bed.   Central panel appliqued in Maltese cross form using palmetto print cotton worked in a honeycomb octagonal patches appliqued on a floral chintz in madder colors on a yellow ground having roses, marigolds and exotic flora with palmette leaves. Four small calicos are used for the star.  A yellow background printed in blue making a green leaf and dot pattern (this pattern forms arms and surrounds medallions in center and at ends of arms) These are worked from two resist patterns a sepia and pink on white with the dark color predominating and another in the same colors predominately pink with darker dots and light areas.  A rosebud probably from a floral trail design on a white ground is used as the center for two of the medallions.  The center square is encircled by alternating bands of an Indienne polychrome shawl pattern on a white ground and a floral trails design printed in madder colors on a brown ground.  The border print is an arborescent rosebush in tan, rose and blue on a white ground.  The end is bound in madras gingham.  All of the materials are English block printed fabric dating to between 1790 and 1810. 
Backing of quilt is white homespun linen.  
Quilting done in diagonal lines or herringbone pattern. 
Label on back of quilt written in ink ""Quilted by Mrs. Canfield and Mrs. Tallmadge/about 1824 - center pieced by them - The calico with rosebuds from dresses of Mrs. T. and Mrs. Flewelling about 1810/The above were stateroom curtains of Benjamin Tallmadge on frigate ""Constitution"" The bordering was from the dresses.""",
"Pitcher",,"1916-02-1","Household Accessories","Tapping Reeve/Owner",,"ca. 1780",,,"Litchfield Historical Society","glazed earthenware","6"" high x 3"" diameter of top","Mottled green and dark brown glaze.  Shaped base.  Ear shaped strap handle attached above shoulder down to middle bulge.  Top has straight sides, body bulges out, tapers in to base.  No spout, plain rim.  Incised lines above bulge.",
"Portable Writing Desk",,"1918-03-43","Furniture","Elizabeth Canfield Tallmadge/Owner",,"ca. 1840",,,"Litchfield Historical Society","rosewood, mother of pearl, satin, velvet","10 7/8"" length x 9 1/4"" width x 5 3/4"" height","Portable writing desk, rosewood box, mother of pearl oblong inlay in top and thin border of mother-of-pearl surrounding. Square lock plate on side of ivory.  Two brass hinges.  Opens in three sections, top section fitted with red satin accordian file folder, middle and third section make for slanted writing surface covered in red velvet. middle section opens to letter compartment. Compartments for inkwell, pen and sander.  ",
"Writing Table",,"1924-04-0","Furniture","George Catlin Woodruff/Owner",,"ca. 1825","Litchfield, CT",,"Litchfield Historical Society","Pine wood, canvas and brass","33"" length x 32"" width x 43"" height","Writing table made of pine and painted red.  Four square legs that taper to the ground.  Rectagular shaped top with plain skirt and one drawer in front with round  brass knob.  Top covered with oil cloth painted blue/black with overall geometric pattern in yellow.  This desk was used by George Caitlin Woodruff and two succeeding generations of Woodruff lawyers in Litchfield. ",
"Dress",,"1925-03-2","Clothing & Personal Accessories","Elizabeth Canfield Tallmadge/Owner",,"ca. 1810-1820",,,"Litchfield Historical Society","Cotton",,"White mull dress, loom embroidered with tiny swirls of white cotton; long sleeves; high waist; two bands of ruching on edge of skirt.  ",
"Wedding Dress",,"1925-03-3","Clothing & Personal Accessories","Elizabeth Canfield Tallmadge/Owner",,1815,,,"Litchfield Historical Society","Cotton",,"White mull wedding dress, loom embroidered with all over tiny cotton flowers; hemmed at bottom; cross over bodice with wide shoulder straps; open back.  The sleeves have been removed",
"Dress",,"1925-03-4","Clothing & Personal Accessories","Elizabeth Canfield Tallmadge/Owner",,"ca. 1810-1820",,,"Litchfield Historical Society","Cotton",,"Dress of white mull with vertical stripes of three alternating patterns each bordered with loops and a leaf motif of drawn work spotted between stripes.  Straight cut bodice; narrow facing on bottom; narrow strap sleeves.",
"Silver Spoons",,"1929-01-9 a,b","Household Accessories","Tapping Reeve/Owner","Isaac Thompson (1777-1844)","1796-1805","Litchfield, CT",,"Litchfield Historical Society","silver","8 3/4"" length","Pair of silver dessert spoons.  Deep bowl, coffin handle, hallmarked in  rectangle, ""I THOMPSON"" and engraved on front on handle ""REEVE"" ",
"Side Chairs",,"1929-02-16 a,b","Furniture","Tapping Reeve/Owner","Attributed to Benjamin Randolph (1721-1791)",1773,"New York City, NY",,"Litchfield Historical Society","mahogany"," 21"" length x 17 1/4"" width x 35 1/2"" height","Pair of joined side chairs.  Upholstered seat.  Originally donated with needlepoint seat cover but has been removed and replaced with plain green fabric cover.  Pierced splat.  Crest rail bowed with rounded ends.  Square legs.  Single square stretcher on sides, back and in center of chair.  This pair of chairs was given to Tapping Reeve and his wife Sally Burr as a wedding present.  ",
