"Title","Main Image","Object ID#","Category","Student","Author/Creator","Date","Associated Place","Collection","Held At","Medium","Size","Description","Image Ready for Gibson"
"Christening Dress",,"1926-01-10","Clothing & Personal Accessories","Epaphroditus Champion Bacon; Frederick Asa Bacon; Francis Bacon",,"1811-1819",,,"Litchfield Historical Society","Cotton, lace","38"" length","All white cotton christening gown; rounded neck with drawstring; drawstring at waist; front of gown has center small lace V, larger circle and dot embroidered V, larger hand doen lace V, and repeat of embroidered panel; all cut off at waist; hand embroidered short net sleeves; high waist; down front straight panel with sides of double dot-circle-double dot edges dropping from V; center dotted S forms alternating net inserted embroidered leaf forms; same around bottom of skirt with dot and circle at hem border; partial open back.                                                                                                                                                                                                                      This christening gown descended from Lucretia Champion Bacon (1783-1882) and her husband Asa Bacon (1771-1857).  Lucretia attended the LFA and Asa the LLS.  They were married on March 16, 1807 and had three sons, Epaphroditus Champion Bacon (1811-1845), Frederick Asa Bacon (1812-1839) and Francis Bacon (1819-1849)  It is presumed the christening gown was worn by the three boys during their infancy. ",
"Stockings",,"1929-01-8 a,b","Clothing & Personal Accessories","Tapping Reeve",,"ca. 1800-1820","Litchfield, CT",,"Litchfield Historical Society","silk","26"" length x 10"" width at bottom x 6"" width at top","Pair of brown/black woven silk man's stockings, with black clocks and white toes.  Top has wide band with two rows of interwoven white bands.  Machine stitched (woven) and hand sewn seams.  ",
"Exercise Chair",,"1939-04-3","Furniture","Theron Beach; Lucy Sheldon Beach",,"ca. 1850-1870","New York City, NY",,"Litchfield Historical Society","Mahogany, iron and velvet","31"" height x 27 1/2"" legth x 17"" width","Round back arm chair of mahogany with red stain.   Solid plank seat; two iron handles attached to bar under seat enabling user to sit in chair, pull iron bars back and forth and exercise arms.  Pulling iron bars also lifts seat forward.  Straight front legs with back legs raked in reverse curve.   Box spring under seat with jointed iron mechanism.  Velvet red skirt around seat of chair hiding mechanism.",
"Apothecary Table",,"1939-04-2","Tools of a Profession","Dr. Daniel Sheldon",,"ca. 1770-1790",,,"Litchfield Historical Society","Cherry and oak wood and marble","31 3/4"" length x 20 3/4"" width x 28"" height","Demilune shaped apothecary mixing table. Base of oak with cherry veneer, plain skirt, 4 square tapered legs with cross stretcher.  Inset white marble top, the mixing surface, 2"" lip veneered with cherry surrounds.  Used by Dr. Daniel Sheldon (1750-1840) of Hartford.  He studied with Dr. Bird in South Farms and opened a practice in Litchfield.",
"Coverlet",,"1952-01-1","Made by Students","Almira Collins Gidding","Almira Collins Gidding (1790-1849 or 1872)","ca. 1825","Litchfield, CT",,"Litchfield Historical Society","Cotton and linen","110"" length x 83"" width","White-work quilted coverlet.  White cotton with linen backing, trapunto and quilted work, central motif of cornucopia of flowers, surrounded by a border of grapevines, leaves and tendrils, second border os fushia blossoms and leaves, outermost border of rushes. Cut out for 4 post bed.",
"Pillowcase",,"1952-09-1","Made by Students","Harriet Humphreyville Smith","Harriet Humphreyville Smith (1812-1897)","ca. 1836",,,"Litchfield Historical Society","cotton","37"" length x 22 3/4"" width","White linen pillow case.  White ruffle on two sides - one being where case opens.  Ruffle approximately 3"" wide.  Ruffle only on front side of opening, back side has hemline.  Stitched in blue thread near opening ""Harriet Humphreville/No 12"" with line underneath",
"Crib Coverlet",,"1934-03-1","Made by Students","Almira Collins Gidding","Almira Collins Gidding (1790-1849 or 1872)",,,,"Litchfield Historical Society",,,,
"Child's Dress",,"1952-01-4","Made by Students","Almira Collins Gidding","Almira Collins Gidding (1790-1849 or 1872)",,,,"Litchfield Historical Society",,,,
"Christening Dress",,"1952-01-2","Made by Students","Almira Collins Gidding","Almira Collins Gidding (1790-1849 or 1872)",,,,"Litchfield Historical Society",,,,
"Set of Silver Spoons",,"1958-15-6 a-p","Household Accessories","Lucy Sheldon Beach","Baldwin Gardiner (1791-1868)","ca. 1825","New York City, NY",,"Litchfield Historical Society ","silver","6"" length","16 silver teaspoons, Ensko shape & Kovel 1810 form.  Flared, joined, and beaded handle.  Flaring at top to large tab with ""LB"" initial in script and round end with single beading in heart shape",
