id,name,unique_name,other_name,gender,room_and_board,home_town,home_state,home_country,born,died,other_education,admitted_to_bar,training_with_other_lawyers,federal_committees,state_committees,biographical_notes,citation_of_attendance,image_id,secondary_sources,additional_notes,private_notes,benevolent_and_charitable_organizations,quotes,political_parties,professions,residences,government_posts,marriages,LLS,LFA,materials,relations
1,Nehemiah Abbott,,Nehemiah Abbott,M,,Sidney,ME,United States,"March 29, 1804","July 26, 1877",Graduated from Columbia College in 1822.,"Bangor, ME in 1836","Abbott spent a year from 1839 to 1840 in Columbus, MS practicing law with his brother Howard Brooks Abbott.",,,"Nehemiah was the fourth child of Asa Abbott, a successful land speculator, and his wife Hephzibah Brooks Abbott. In 1822 he graduated from Columbia College (now Columbia University) before attending the Litchfield Law School in Litchfield, Connecticut. After being admitted to the bar in Bangor, Maine in 1836 he proceeded to practice law for three years in Calais, Maine.     He then moved to Mississippi, but after spending a year practicing law in Columbus with his brother Howard Brooks Abbott, he returned to Maine in 1840 and settled in Belfast. After resettling he served as the editor of the People's Advocate of Belfast in 1844. Abbott also served as a United States Representative in Congress from 1857 to 1859 and then as Mayor of Belfast, Maine from 1865 to 1866. He continued his law practice until a short time before his death.    According to George Thomas Little's <I>Genealogical and Family History  of the State of Maine</I>, 'Mr. Abbott was a tall man, six feet and two inches, and quite thin; he was a very popular lawyer, and seriously impaired his health by overwork.'    Abbott married Caroline Williams Belcher, the eldest child of Clifford and Deborah Allen Belcher, on June 28, 1836. They had six children. Abbott died on July 26, 1877 at the age of seventy-three. He and his wife were buried in Grove Cemetery, Belfast, Maine.    Following his death, his colleagues paid tribute to his memory at the October term of the Supreme Court of Waldo County. They passed the following resolution:    <I>Resolved, That by the death of the Hon. Nehemiah Abbott, this Bar deplores the loss of a member distinguished during his long and active career for honor and integrity, for untiring industry, and for scrupulous fidelity to all the interests committed to him. As a lawyer, he was quick in apprehension, sound in practical judgment, forcible in argument, eminently fair towards opponents, and popular, successful, and effective in his management of cases both before juries and courts. As a citizen, his upright life, public spirit, and courteous demeanor secured him the confidence and esteem of the community in which for nearly forty years was his home.</I>","Williamson, Joseph. <I>History of the City of Belfast in the State of Maine, Vol. I. </I>Portland: Loring, Short, and Harmon, 1877.",N. Abbott 1804-1877.jpg,"Abbott, Nehemiah. <I>Kansas-Lecompton Constitution, and the President’s Lecompton message. Speech of Hon. Nehemiah Abbott, of Maine. Delivered in the U.S. House of Representatives, March 22, 1858</I>. [Washington, D.C.: Buell & Blanchard, printers, 1858]  Abbott, Lemuel Abijah. <I>Descendants of George Abbott, of Rowley, Mass</I>, vol. I. Published by Compiler, 1906.  Williamson, Joseph. <I>History of the City of Belfast In the State of Maine, Vol. I.</I> Portland: Loring, Short, and Harmon, 1877.  Little, George Thomas, <I>Genealogical and Family History of the State of Maine</I>, Lewis Historical Publishing Company, New York, 1909.",,,,,Republican,Lawyer;Editor;Political Office,Calais/ME/United States;Belfast/ME/United States;Columbus/MS/United States,"Federal/U.S. Representative//ME;State/State Representative//ME;Local/Mayor//Belfast, ME","Caroline Belcher Abbott/June 28, 1836",1823,,Engraving of Nehemiah Abbott,
2,Caroline Belcher Abbott,,Caroline Williams Belcher,F,,,,,"October 18, 1812","June 17, 1883",,,,,,,,,,,,,,,,,,,,,,
3,Asa Abbott,,,M,,,,,"February 21, 1768","January 10, 1834",,,,,,,,,,,,,,,,,,,,,,
4,Hephzibah Brooks Abbott,,,F,,,,,1768,,,,,,,,,,,,,,,,,,,,,,,
5,George Abeel,,,M,,New York,NY,United States,1800,"October 26, 1884",Entered Columbia College in 1822.,"New York, NY in 1826; March 3, 1826 in Albany, NY; June 18, 1827 in New York, NY ",,,,"George Abeel was one of twelve children of Garret Byvace Abeel, the owner of an iron and hardware business, and his wife Catharine Marchalck Abeel. In 1822 George entered Columbia College (now Columbia University) and upon the completion of his studies enrolled in at the Litchfield Law School in 1823. After being admitted to the bar in 1826 he established a law practice in New York City. In 1832 he left his practice to take over his father's iron and hardware business with his brothers Alfred and John Howard Abeel.They named their firm Abeel Brothers, Iron Merchants. In 1840 he retired and traveled both at home as well as abroad. During his lifetime George was also a founder of the St. Nicholas Society and a Trustee of East River Savings Institution. He died on October 26, 1884 at the age of 84. ","<I>Litchfield Eagle</I>, October 6, 1823; <I>Catalogue of the Litchfield Law School</I> (Hartford, CT: Press of Case, Tiffany and Company, 1849), 19. ",,"Whittemore, Henry, comp. <I>Abeel & Allied Families</I>. NY: 1899.","His obituary in the New York Times (October 28, 1884) stated that he died at his brother's home at 127 2nd Ave., studied the law but never practiced, and that he never married.",,,,,Lawyer;Business,New York/NY/United States,,,1823,,,
6,Garret Byvace Abeel,,,M,,,,,"March 5, 1768",1829,,,,,,,,,,,,,,,Manufacturer,,,,,,,
7,Catharine Marchalck Abeel,,,F,,,,,"January 12, 1775","November 21, 1829",,,,,,,,,,,,,,,,,,,,,,
8,Charles Adams (1795-1821),,,M,,Canterbury,CT,United States,"June 11, 1795","January 20, 1821",Attended Andover College in 1811.,,,,,"Charles Adams was the son of John Adams and Mary Parker Adams of Canterbury, Connecticut. In 1811, he graduated from Andover College. The following year he studied at the Litchfield Law School. After completing his legal studies, Adams pursued a career as an educator. He relocated to Statesburg, South Carolina where he died on January 20, 1821 at the age of twenty-five.","<I>Catalogue of Litchfield Law School</I>(Hartford, Connecticut: Press of Tiffany, Case and Company, 1849), 10.    Adams, Charles, Student Notebook, 1812, Rare Book Collection, Lillian Goldman Law Library, Yale University ",,,,,,,,Educator,Statesburg/SC/United States,,,1812,,,
9,John Adams (1774-1818),,,M,,,,,"February 12, 1774","December 20, 1818",,,,,,,,,,,,,,,,,,Mary Parker Adams/,,,,
10,Mary Parker Adams,,,F,,,,,1747,"before November 2, 1802",,,,,,,,,,,,,,,,,,,,,,
